genericName,hetName
abacavir,1KX
acetylcholine,ACH
acetylcysteine,SC2
acetylene,C2H
acetylsalicylic,AIN
activated,05O
acyclovir,AC2
ademetionine,SAM
adenine,ADE
adenosine,ADN
abametapir,EI3
afatinib,0WM
agomelatine,AWY
ajmaline,AJM
albendazole,ALW
alectinib,EMH
alendronic,212
alfacalcidol,M9B
alfaxalone,EY4
aliskiren,C41
alitretinoin,9CR
abemaciclib,6ZV
allantoin,2AL
allopurinol,7HP
alogliptin,T22
alosetron,S7Y
alpelisib,1LT
alpha-linolenic,LNL
alprazolam,08H
alprostadil,XPG
alvimopan,NG0
amantadine,308
abiraterone,AER
amifampridine,L89
amikacin,AKN
amiloride,AMR
aminobenzoic,PAB
aminocaproic,ACA
aminoglutethimide,9UQ
aminolevulinic,FVT
aminosalicylic,BHA
amiodarone,BBI
amitriptyline,TP0
acepromazine,PMZ
amlexanox,ANW
amlodipine,06X
ammonia,NH3
amodiaquine,CQA
amphetamine,FRD
ampicillin,AIC
amprenavir,478
amsacrine,ASW
anagrelide,J33
apixaban,GG2
acetaminophen,TYL
apomorphine,5RL
apramycin,AM2
apremilast,A9L
aprepitant,GBQ
arbutin,7OQ
arformoterol,H98
argatroban,15U
aripiprazole,9SC
arsanilic,ASR
artemether,D8Z
acetazolamide,AZM
artesunate,D95
ascorbic,ASC
asparagine,41Q
aspartic,ASP
astemizole,XB7
asunaprevir,2R9
ataluren,JBF
atazanavir,DR7
atorvastatin,117
atovaquone,AOQ
acetic,ACY
atropine,OIN
avanafil,E6L
avibactam,FYG
avilamycin,6NO
axitinib,AXI
azacitidine,5AE
azelaic,AZ1
azithromycin,ZIT
aztreonam,AZR
acetohydroxamic,HAE
kanamycin,KAN
ketamine,JC9
ketoconazole,KKK
ketorolac,KTR
kinetin,H35
l-glutamine,GLN
lauric,DAO
lefamulin,62B
lemborexant,NRK
lenvatinib,LEV
levamlodipine,6UB
levocetirizine,LCR
levodopa,DAH
levofloxacin,LFX
levoleucovorin,FFO
levomefolic,THH
l-lactic,2OP
levonorgestrel,NOG
levosalbutamol,68H
levothyroxine,T44
lidocaine,LQZ
linagliptin,356
lincomycin,3QB
linezolid,ZLD
linoleic,EIC
liothyronine,_T3
lipoic,LPA
l-lysine,LYS
lisinopril,LPR
lisuride,H8G
lonafarnib,336
lopinavir,AB1
lorlatinib,5P8
losartan,LSN
lovastatin,803
lumacaftor,VX8
